species,Nplots,mean.abund,ts,betaT,alphaT,Rs,slopeN,b.inter,bs,bs.se,bs.p,u.inter,us,us.se,us.p,min.tp,max.tp,min.tval,max.tval,low.bound,hi.bound
Eucalyptus rubida,1,0.745583038869258,0.691031093367006,0.693171361607248,-0.00214026824024138,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.693171361607248,0.693171361607248,0.691031093367006,0.691031093367006,1,0
Eucalyptus stellulata,1,1,0.798108990050858,0.798108990050858,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.798108990050858,0.798108990050858,0.798108990050858,0.798108990050858,0,0
Eucalyptus tereticornis,1,0.644660194174757,0.85186502686752,0.81978588087157,0.0320791459959501,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.81978588087157,0.81978588087157,0.85186502686752,0.85186502686752,0,0
Eucalyptus viminalis,1,0.38563829787234,0.78607747455324,0.779496384767501,0.00658108978573868,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.779496384767502,0.779496384767502,0.78607747455324,0.78607747455324,0,0
Glochidion ferdinandi var. ferdinandi,1,0.150943396226415,0.815638171617783,0.715096810005375,0.100541361612408,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.715096810005375,0.715096810005375,0.815638171617783,0.815638171617783,0,0
Grevillea robusta,1,0.0122887864823349,0.72158660533577,0.784722197667837,-0.0631355923320669,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.784722197667837,0.784722197667837,0.72158660533577,0.72158660533577,0,0
Guioa semiglauca,1,0.00895522388059702,0.877496438739212,0.792955826999264,0.0845406117399479,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.792955826999264,0.792955826999264,0.877496438739212,0.877496438739212,0,0
Leptospermum brevipes,1,0.203457446808511,0.84381793474659,0.779496384767501,0.0643215499790882,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.779496384767502,0.779496384767502,0.84381793474659,0.84381793474659,0,0
Ligustrum sinense,1,0.087378640776699,0.782304288624318,0.81978588087157,-0.0374815922472518,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.81978588087157,0.81978588087157,0.782304288624318,0.782304288624318,0,0
Lophostemon suaveolens,1,0.241167434715822,0.75962165056033,0.784722197667837,-0.0251005471075068,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.784722197667837,0.784722197667837,0.75962165056033,0.75962165056033,0,0
Melaleuca quinquenervia,1,0.0860215053763441,0.866818959183519,0.784722197667837,0.0820967615156827,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.784722197667837,0.784722197667837,0.866818959183519,0.866818959183519,0,0
