species,plot,abund,sqrt_WD
Abrophyllum ornans,1,0.107462686567164,0.775631199733482
Acacia boormanii,7,0.23321554770318,0.709254452929271
Acacia falciformis,14,0.142857142857143,0.850881895447306
Acacia floribunda,4,0.203821656050955,0.825120817214061
Acacia implexa,14,0.44047619047619,0.799299172400422
Acacia leiocalyx subsp. leiocalyx,13,0.0645161290322581,0.754503503636663
Acacia mearnsii,6,0.466666666666667,0.807534843830283
Acacia melanoxylon,3,0.0731382978723404,0.690404017948911
Acmena smithii,1,0.428358208955224,0.845370845842226
Alphitonia excelsa,13,0.179723502304147,0.851567285069125
Angophora subvelutina,12,0.135922330097087,0.81129053057459
Backhousia myrtifolia,5,0.870722433460076,0.905571495796991
Callistemon subulatus,6,0.533333333333333,0.826438140455775
Casuarina cunninghamiana,4,0.509554140127389,0.782432484627268
Casuarina glauca,13,0.158986175115207,0.775505628606266
Ceratopetalum apetalum,1,0.0865671641791045,0.707035402932555
Commersonia fraseri,15,0.415094339622642,0.60974657686616
Coprosma quadrifida,2,1,0.696431213401582
Cryptocarya glaucescens,1,0.0507462686567164,0.704516672620315
Dodonaea viscosa subsp. cuneata,14,0.416666666666667,0.973104310955408
Doryphora sassafras,1,0.073134328358209,0.706322636618706
Duboisia myoporoides,13,0.0668202764976959,0.643762913656883
Eucalyptus amplifolia,11,0.72463768115942,0.886436327098568
Eucalyptus camphora subsp. humeana,8,0.95,0.706874352342763
Eucalyptus cypellocarpa,4,0.113234253361642,0.789853126220312
Eucalyptus elata,5,0.129277566539924,0.709095631773317
Eucalyptus radiata,8,0.05,0.760258903926814
Eucalyptus resinifera,15,0.358490566037736,0.774407791153989
Eucalyptus rubida,7,0.745583038869258,0.691031093367006
Eucalyptus stellulata,10,1,0.798108990050858
Eucalyptus tereticornis,12,0.644660194174757,0.85186502686752
Eucalyptus viminalis,3,0.38563829787234,0.78607747455324
Glochidion ferdinandi var. ferdinandi,15,0.150943396226415,0.815638171617783
Grevillea robusta,13,0.0122887864823349,0.72158660533577
Guioa semiglauca,1,0.00895522388059702,0.877496438739212
Leptospermum brevipes,3,0.203457446808511,0.84381793474659
Ligustrum sinense,12,0.087378640776699,0.782304288624318
Lophostemon suaveolens,13,0.241167434715822,0.75962165056033
Melaleuca quinquenervia,13,0.0860215053763441,0.866818959183519
Melicytus dentatus,4,0.173389950460014,0.727695968794661
Notelaea longifolia,13,0.0276497695852535,0.932528819929979
Notelaea microcarpa var. microcarpa,11,0.27536231884058,0.799199147271817
Notelaea microcarpa var. velutina,12,0.0271844660194175,0.799199147271817
Pittosporum spinescens,1,0.0134328358208955,0.853404944911851
Pomaderris aspera,3,0.337765957446808,0.752529325674422
Prostanthera lasianthos,9,1,0.761577310586391
Rubus fruticosus agg.,7,0.0212014134275618,0.59152345684681
Solanum mauritianum,12,0.104854368932039,0.670142991457793
Syzygium oleosum,13,0.0614439324116744,0.762451277131857
Tree (Sportsmans 57),13,0.0921658986175115,0.782561215496909
Trema tomentosa var. aspera,13,0.00921658986175115,0.575119233724625
Tristaniopsis laurina,1,0.126865671641791,0.808431475760314
Trophis scandens,15,0.0754716981132075,0.811713208590325
Waterhousea floribunda,1,0.104477611940299,0.736854242031625
