plot,Nsp,tp,Trange,mnNiBr,mnIntraSlope,min.aT,max.aT,tval.low,tval.hi,lowbound.sp,hibound.sp
1,31,0.71485249122898,1.84509804001426,0.0818239392975812,1.65573498744877e-16,-1.0201550527721,0.829215553121296,-0.301029995663981,1.54406804435028,1,0
2,31,0.740284835420974,1.77815125038364,0.261536287666564,7.18187359435886e-16,-1.0201550527721,0.75730502833316,-0.301029995663981,1.47712125471966,1,0
3,52,0.442951743031154,2,0.344447451192239,-5.03380966115542e-16,-0.965830488311491,0.885367949857679,-0.522878745280338,1.47712125471966,1,1
4,58,0.691718154918321,2.39794000867204,0.30212538899628,6.12191439808929e-16,-1.39068815925434,1.0072518494177,-0.698970004336019,1.69897000433602,1,1
5,40,0.647286719608045,2.24303804868629,0.282300656522478,4.29467904720402e-16,-1.22672158772982,0.894450104446829,-0.698970004336019,1.54406804435028,1,0
6,41,0.841136583418707,1.84509804001426,0.344771242542043,1.98558660867941e-16,-1.14216657908269,0.894450104446829,-0.301029995663981,1.54406804435028,1,1
7,27,0.632057492454749,1.82390874094432,0.132572224915583,-5.02769366509504e-16,-0.853906242071105,0.970002498873214,-0.221848749616356,1.60205999132796,1,0
8,47,0.625342052468962,2.39794000867204,0.20418351410402,7.20368183728607e-16,-1.33672851579332,0.885367949857679,-0.698970004336019,1.69897000433602,0,1
9,51,0.55493073431833,2.39794000867204,0.21587967594996,4.06086924513331e-16,-1.25390073865435,0.822076735952515,-0.698970004336019,1.69897000433602,0,1
10,44,0.622746963010185,1.60205999132796,0.308839565167597,9.71493788254325e-16,-0.952915868800397,0.679303329710307,-0.301029995663981,1.30102999566398,1,1
11,45,0.112635345606634,2.24303804868629,0.328846607883076,6.66037181382086e-17,-1.21377120087792,1.36448590911303,-0.698970004336019,1.54406804435028,1,0
12,52,0.575774184378803,2.39794000867204,0.271128681140549,1.15570937712569e-15,-1.21377120087792,1.09674590581075,-0.698970004336019,1.69897000433602,1,0
13,49,0.410966764851997,2.30102999566398,0.141750989152964,8.04467417237702e-17,-1.22672158772982,1.19109322647597,-0.698970004336019,1.60205999132796,1,0
14,22,1.16054961614014,1.30102999566398,0.325205239168338,1.87245626002771e-16,-0.683428361420473,0.822076735952515,0.397940008672038,1.69897000433602,0,1
15,30,0.623029452549486,2.39794000867204,0.129204211524885,1.72190705965119e-15,-1.3219994568855,1.09674590581075,-0.698970004336019,1.69897000433602,1,0
