species,plot,abund,tval,tp,ts,tvalNA
Abrophyllum ornans,1,0.0463618802318094,0.903089986991944,0.71485249122898,0.903089986991944,0.903089986991944
Acacia boormanii,7,0.0923076923076923,0.602059991327962,0.632057492454749,0.602059991327962,0.602059991327962
Acacia falciformis,14,0.00423131170662905,1,1.16054961614014,1,1
Acacia floribunda,4,0.0278099652375435,0.903089986991944,0.691718154918321,0.903089986991944,0.903089986991944
Acacia floribunda,4,0.0278099652375435,0.903089986991944,0.691718154918321,0.903089986991944,0.903089986991944
Acacia floribunda,4,0.0278099652375435,0.903089986991944,0.691718154918321,0.903089986991944,0.903089986991944
Acacia floribunda,4,0.0278099652375435,0.903089986991944,0.691718154918321,0.903089986991944,0.903089986991944
Acacia floribunda,4,0.0278099652375435,0.903089986991944,0.691718154918321,0.903089986991944,0.903089986991944
Acacia floribunda,5,0.0221606648199446,0.903089986991944,0.647286719608045,0.903089986991944,0.903089986991944
Acacia floribunda,5,0.0221606648199446,0.903089986991944,0.647286719608045,0.903089986991944,0.903089986991944
Acacia floribunda,5,0.0221606648199446,0.903089986991944,0.647286719608045,0.903089986991944,0.903089986991944
Acacia floribunda,5,0.0221606648199446,0.903089986991944,0.647286719608045,0.903089986991944,0.903089986991944
Acacia floribunda,5,0.0221606648199446,0.903089986991944,0.647286719608045,0.903089986991944,0.903089986991944
Acacia floribunda,6,0.0330543034986049,0.903089986991944,0.841136583418707,0.903089986991944,0.903089986991944
Acacia floribunda,6,0.0330543034986049,0.903089986991944,0.841136583418707,0.903089986991944,0.903089986991944
Acacia floribunda,6,0.0330543034986049,0.903089986991944,0.841136583418707,0.903089986991944,0.903089986991944
Acacia floribunda,6,0.0330543034986049,0.903089986991944,0.841136583418707,0.903089986991944,0.903089986991944
Acacia floribunda,6,0.0330543034986049,0.903089986991944,0.841136583418707,0.903089986991944,0.903089986991944
Acacia floribunda,12,0.00495535714285714,0.903089986991944,0.575774184378803,0.903089986991944,0.903089986991944
Acacia floribunda,12,0.00495535714285714,0.903089986991944,0.575774184378803,0.903089986991944,0.903089986991944
Acacia floribunda,12,0.00495535714285714,0.903089986991944,0.575774184378803,0.903089986991944,0.903089986991944
Acacia floribunda,12,0.00495535714285714,0.903089986991944,0.575774184378803,0.903089986991944,0.903089986991944
Acacia floribunda,12,0.00495535714285714,0.903089986991944,0.575774184378803,0.903089986991944,0.903089986991944
Acacia floribunda,13,0.00948509485094851,0.903089986991944,0.410966764851997,0.903089986991944,0.903089986991944
Acacia floribunda,13,0.00948509485094851,0.903089986991944,0.410966764851997,0.903089986991944,0.903089986991944
Acacia floribunda,13,0.00948509485094851,0.903089986991944,0.410966764851997,0.903089986991944,0.903089986991944
Acacia floribunda,13,0.00948509485094851,0.903089986991944,0.410966764851997,0.903089986991944,0.903089986991944
Acacia floribunda,13,0.00948509485094851,0.903089986991944,0.410966764851997,0.903089986991944,0.903089986991944
Acacia implexa,14,0.0130465444287729,1.07918124604762,1.16054961614014,1.07918124604762,1.07918124604762
Acacia leiocalyx subsp. leiocalyx,13,0.018970189701897,0.778151250383644,0.410966764851997,0.778151250383644,0.778151250383644
Acacia mearnsii,6,0.0060098733633827,1,0.841136583418707,1,1
Acacia melanoxylon,3,0.00805978898007034,1.47712125471966,0.442951743031154,1.47712125471966,1.47712125471966
Acacia melanoxylon,3,0.00805978898007034,1.47712125471966,0.442951743031154,1.47712125471966,1.47712125471966
Acacia melanoxylon,3,0.00805978898007034,1.47712125471966,0.442951743031154,1.47712125471966,1.47712125471966
Acacia melanoxylon,7,0.00839160839160839,1.47712125471966,0.632057492454749,1.47712125471966,1.47712125471966
Acacia melanoxylon,7,0.00839160839160839,1.47712125471966,0.632057492454749,1.47712125471966,1.47712125471966
Acacia melanoxylon,7,0.00839160839160839,1.47712125471966,0.632057492454749,1.47712125471966,1.47712125471966
Acacia melanoxylon,8,0.0256363303424281,1.47712125471966,0.625342052468962,1.47712125471966,1.47712125471966
Acacia melanoxylon,8,0.0256363303424281,1.47712125471966,0.625342052468962,1.47712125471966,1.47712125471966
Acacia melanoxylon,8,0.0256363303424281,1.47712125471966,0.625342052468962,1.47712125471966,1.47712125471966
Acacia pravissima,14,0.15867418899859,0.903089986991944,1.16054961614014,0.903089986991944,0.903089986991944
Acaena novae-zelandiae,8,0.00402856619666728,-0.522878745280338,0.625342052468962,-0.522878745280338,-0.522878745280338
Acmena smithii,1,0.184803605924018,0.698970004336019,0.71485249122898,0.698970004336019,0.698970004336019
