"plot"	"species"	"abund"	"SLA"
1	"Abrophyllum ornans"	0.0460947503201024	11.06
1	"Acmena smithii"	0.183738796414853	11.77
1	"Gymnostachys anceps"	0.00384122919334187	6.98
1	"Adiantum hispidulum"	0.00384122919334187	25.96
1	"Carex longebrachiata"	0.00512163892445583	15.52
1	"Acmena smithii"	0.183738796414853	11.77
1	"Ceratopetalum apetalum"	0.0371318822023047	12.07
1	"Cryptocarya glaucescens"	0.0217669654289373	10.35
1	"Doodia aspera"	0.030729833546735	10.7
1	"Lomandra longifolia"	0.0128040973111396	12.89
1	"Lomandra longifolia"	0.0128040973111396	12.89
1	"Doodia aspera"	0.030729833546735	10.7
1	"Doryphora sassafras"	0.0313700384122919	11.01
1	"Eustrephus latifolius"	0.0057618437900128	22.04
1	"Guioa semiglauca"	0.00384122919334187	13.21
1	"Tristaniopsis laurina"	0.0544174135723432	7.48
1	"Lomandra longifolia"	0.0128040973111396	12.89
1	"Lomandra longifolia"	0.0128040973111396	12.89
1	"Waterhousea floribunda"	0.0448143405889885	13.58
1	"Lomandra longifolia"	0.0128040973111396	12.89
1	"Tristaniopsis laurina"	0.0544174135723432	7.48
1	"Tristaniopsis laurina"	0.0544174135723432	7.48
1	"Lomandra longifolia"	0.0128040973111396	12.89
1	"Pittosporum spinescens"	0.0057618437900128	18.44
1	"Lomandra longifolia"	0.0128040973111396	12.89
1	"Doodia aspera"	0.030729833546735	10.7
1	"Lomandra longifolia"	0.0128040973111396	12.89
1	"Lomandra longifolia"	0.0128040973111396	12.89
1	"Carex longebrachiata"	0.00512163892445583	15.52
1	"Lomandra longifolia"	0.0128040973111396	12.89
1	"Doodia aspera"	0.030729833546735	10.7
1	"Gymnostachys anceps"	0.00384122919334187	6.98
2	"Blechnum nudum"	0.0061633281972265	20.83
2	"Doodia aspera"	0.0550847457627119	10.7
2	"Tristaniopsis laurina"	0.173343605546995	7.48
2	"Lomandra longifolia"	0.00231124807395994	12.89
2	"Lomandra longifolia"	0.00231124807395994	12.89
2	"Lomandra longifolia"	0.00231124807395994	12.89
2	"Coprosma quadrifida"	0.0200308166409861	34.41
2	"Lomandra longifolia"	0.00231124807395994	12.89
2	"Adiantum aethiopicum"	0.013482280431433	61.42
2	"Doodia aspera"	0.0550847457627119	10.7
2	"Tristaniopsis laurina"	0.173343605546995	7.48
2	"Doodia aspera"	0.0550847457627119	10.7
