"plot"	"species"	"abund"	"maxheight"
1	"Abrophyllum ornans"	0.0949868073878628	8
1	"Acmena smithii"	0.378627968337731	5
1	"Adiantum hispidulum"	0.0079155672823219	0.7
1	"Carex longebrachiata"	0.0105540897097625	0.8
1	"Ceratopetalum apetalum"	0.0765171503957784	25
1	"Cryptocarya glaucescens"	0.0448548812664908	35
1	"Doodia aspera"	0.0633245382585752	0.5
1	"Doryphora sassafras"	0.0646437994722955	35
1	"Guioa semiglauca"	0.0079155672823219	6
1	"Gymnostachys anceps"	0.0079155672823219	1.5
1	"Lomandra longifolia"	0.0263852242744063	1
1	"Pittosporum spinescens"	0.0118733509234829	8
1	"Tristaniopsis laurina"	0.112137203166227	30
1	"Waterhousea floribunda"	0.0923482849604222	30
2	"Doodia aspera"	0.167840375586854	0.5
2	"Lomandra longifolia"	0.00704225352112676	1
2	"Tristaniopsis laurina"	0.528169014084507	30
2	"Adiantum aethiopicum"	0.0410798122065728	0.5
2	"Blechnum nudum"	0.0187793427230047	1
2	"Carex polyantha"	0.176056338028169	0.8
2	"Coprosma quadrifida"	0.0610328638497653	4
3	"Lomandra longifolia"	0.0910290237467019	1
3	"Adiantum aethiopicum"	0.0158311345646438	0.5
3	"Blechnum nudum"	0.0158311345646438	1
3	"Coprosma quadrifida"	0.0131926121372032	4
3	"Acacia melanoxylon"	0.0362796833773087	30
3	"Anagallis arvensis"	0.0145118733509235	0.3
3	"Calochlaena dubia"	0.154353562005277	1.5
3	"Eucalyptus viminalis"	0.191292875989446	30
3	"Leptospermum brevipes"	0.100923482849604	4
3	"Poa meionectes"	0.113456464379947	0.7
3	"Pomaderris aspera"	0.16754617414248	4
3	"Pteridium esculentum"	0.0857519788918206	1.5
4	"Carex longebrachiata"	0.0392638036809816	0.8
4	"Doodia aspera"	0.0098159509202454	0.5
4	"Lomandra longifolia"	0.0425357873210634	1
4	"Pteridium esculentum"	0.0376278118609407	1.5
4	"Acacia floribunda"	0.117791411042945	8
4	"Asplenium flabellifolium"	0.0114519427402863	0.2
4	"Cassinia trinerva"	0.016359918200409	8
4	"Casuarina cunninghamiana"	0.294478527607362	35
4	"Dichondra repens"	0.0139059304703476	0.2
4	"Eucalyptus cypellocarpa"	0.065439672801636	50
4	"Lomatia myricoides"	0.0155419222903885	5
4	"Melicytus dentatus"	0.100204498977505	4
4	"Microlaena stipoides"	0.0605316973415133	0.7
4	"Oplismenus aemulus"	0.0916155419222904	0.3
4	"Pellaea falcata"	0.0736196319018405	1.1
4	"Stellaria flaccida"	0.0098159509202454	0.2
5	"Lomandra longifolia"	0.0239471511147812	1
5	"Tristaniopsis laurina"	0.175061932287366	30
5	"Poa meionectes"	0.0173410404624277	0.7
5	"Acacia floribunda"	0.0858794384805946	8
5	"Casuarina cunninghamiana"	0.165152766308836	35
5	"Dichondra repens"	0.00990916597853014	0.2
5	"Microlaena stipoides"	0.247729149463254	0.7
5	"Austrostipa ramosissima"	0.0165152766308836	2.5
5	"Backhousia myrtifolia"	0.189099917423617	30
5	"Entolasia stricta"	0.0115606936416185	0.8
5	"Eucalyptus elata"	0.0280759702725021	30
5	"Lepidosperma laterale"	0.0297274979355904	1
6	"Lomandra longifolia"	0.0682523267838676	1
6	"Leptospermum brevipes"	0.285418821096174	4
6	"Acacia floribunda"	0.159255429162358	8
6	"Casuarina cunninghamiana"	0.316442605997932	35
6	"Melicytus dentatus"	0.0124095139607032	4
6	"Microlaena stipoides"	0.0196483971044467	0.7
6	"Lepidosperma laterale"	0.0237849017580145	1
6	"Acacia mearnsii"	0.0289555325749741	10
6	"Astroloma humifusum"	0.031023784901758	0.5
6	"Callistemon subulatus"	0.0330920372285419	1
6	"Cryptandra spinescens"	0.0217166494312306	1
7	"Lomandra longifolia"	0.078740157480315	1
7	"Acacia melanoxylon"	0.015748031496063	30
7	"Pomaderris aspera"	0.0183727034120735	4
7	"Acacia boormanii"	0.173228346456693	4
7	"Beyeria viscosa"	0.0813648293963255	4
7	"Carex appressa"	0.031496062992126	1.2
7	"Ehrharta erecta"	0.031496062992126	0.6
7	"Eucalyptus rubida"	0.553805774278215	40
7	"Rubus fruticosus agg."	0.015748031496063	3
8	"Blechnum nudum"	0.175824175824176	1
8	"Coprosma quadrifida"	0.0620555914673562	4
