plot,Nsp,tp,Trange,mnNiBr,mnIntraSlope,min.aT,max.aT,tval.low,tval.hi,lowbound.sp,hibound.sp
1,32,1.04211480235509,0.57044926550517,0.0687066202267942,1.03573864674228e-15,-0.2171392520567,0.372189885773238,0.843855422623161,1.41430468812833,1,1
2,31,1.06100174684137,0.914408214242589,0.154338173652072,1.04198060320683e-15,-0.178039178062666,0.711920846541829,0.873901597864461,1.78830981210705,1,1
3,52,1.09430729831951,0.950090590199424,0.196144461409355,-1.74142316574657e-16,-0.203149785987472,0.711920846541829,0.838219221907626,1.78830981210705,1,1
4,57,0.853440738928557,1.60020798646637,0.307213370632197,3.26919176216755e-16,-0.775005986161218,0.760159425476746,0.14921911265538,1.74942709912175,1,1
5,39,1.02910573599873,1.41473635234043,0.253759171476887,1.12118214698557e-15,-0.775005986161218,0.534849728997088,0.14921911265538,1.56395546499581,1,1
6,40,0.733994368012607,1.41032844292505,0.324275510930435,3.25124723942434e-16,-0.775005986161218,0.436088338522428,0.14921911265538,1.55954755558043,1,1
7,26,0.993816751633747,0.637344792979775,0.152898912834575,2.20273001848912e-16,-0.285395851499035,0.338823658753715,0.708420900134713,1.34576569311449,1,1
8,47,1.17993811444239,0.764379783698926,0.168455419832892,-2.31792604364212e-15,-0.227937280783128,0.567037338384424,0.920645001406788,1.68502478510571,1,0
9,50,1.12766923891602,0.727124957985662,0.115400614886946,-2.4832641183293e-15,-0.318109524280754,0.416294967670223,0.809559714635268,1.53668467262093,0,0
10,43,1.12182461305366,0.882513931739182,0.206212223005449,-1.09824337775752e-15,-0.227937280783128,0.711920846541829,0.905795880367869,1.78830981210705,1,1
11,44,1.264969094981,1.64401233440114,0.198898083015922,1.15403713101313e-16,-0.775005986161218,0.760159425476746,0.14921911265538,1.79323144705652,1,1
12,51,1.05801463310704,1.64401233440114,0.199413978647429,4.19252367041519e-15,-0.775005986161218,0.760159425476746,0.14921911265538,1.79323144705652,1,1
13,48,1.1968264355661,1.13002499174407,0.120079007148498,-7.42821074541685e-16,-0.525653592851019,0.760159425476746,0.671172842715083,1.80119783445915,1,1
14,22,0.932898898638484,0.358842147780105,0.135675214277624,-1.90989078343023e-16,-0.151861960017352,0.175327757736445,0.781036938621132,1.13987908640124,1,0
15,32,1.0722416152677,0.980943821681219,0.0691773892051022,6.30577128869971e-15,-0.264875624841863,0.711920846541829,0.807365990425832,1.78830981210705,1,1
