species,plot,abund,tval,tp,ts,tvalNA
Abrophyllum ornans,1,0.0938722294654498,1.04375512696868,1.05507190276954,1.04375512696868,1.04375512696868
Acacia falciformis,14,0.0179372197309417,0.781036938621132,0.974167064992488,0.781036938621132,0.781036938621132
Acacia floribunda,4,0.14776808619805,0.994756944587628,0.839360261794533,0.994756944587628,0.994756944587628
Acacia implexa,14,0.0553064275037369,0.890979596989689,0.974167064992488,0.890979596989689,0.890979596989689
Acacia leiocalyx subsp. leiocalyx,13,0.0557768924302789,0.993876914941211,1.09839570086261,0.993876914941211,0.993876914941211
Acacia mearnsii,6,0.311111111111111,0.988558956878616,0.911330740018501,0.988558956878616,0.988558956878616
Acacia melanoxylon,3,0.0419847328244275,0.920645001406788,1.05578863404839,0.920645001406788,0.920645001406788
Acacia pravissima,14,0.672645739910314,0.970346876230093,0.974167064992488,0.970346876230093,0.970346876230093
Acaena novae-zelandiae,8,0.0466101694915254,1.24797326636181,0.986707391560646,1.24797326636181,1.24797326636181
Acmena smithii,1,0.374185136897001,1.07077646284343,1.05507190276954,1.07077646284343,1.07077646284343
Adiantum aethiopicum,2,0.138339920948617,1.78830981210705,1.37735436629307,1.78830981210705,1.78830981210705
Adiantum hispidulum,1,0.00782268578878748,1.41430468812833,1.05507190276954,1.41430468812833,1.41430468812833
Alphitonia excelsa,13,0.155378486055777,0.957128197676813,1.09839570086261,0.957128197676813,0.957128197676813
Anagallis arvensis,3,0.016793893129771,1.35179630689702,1.05578863404839,1.35179630689702,1.35179630689702
Angophora subvelutina,12,0.0807381776239908,0.923244018630276,1.12301462350636,0.923244018630276,0.923244018630276
Asplenium flabellifolium,4,0.0143663417136993,1.22556771343947,0.839360261794533,1.22556771343947,1.22556771343947
Astroloma humifusum,6,0.333333333333333,1.02077548819356,0.911330740018501,1.02077548819356,1.02077548819356
Backhousia myrtifolia,5,0.731629392971246,1.07809415040641,1.04793441171046,1.07809415040641,1.07809415040641
Bedfordia arborescens,9,0.156133828996283,1.15411952551585,1.06257528442824,1.15411952551585,1.15411952551585
Beyeria viscosa,7,0.113970588235294,1.33264041038746,0.829990976419821,1.33264041038746,1.33264041038746
Bidens pilosa,11,0.0307692307692308,1.79323144705652,1.29284282239213,1.79323144705652,1.79323144705652
Bidens subalternans,11,0.0835164835164835,1.58983794314746,1.29284282239213,1.58983794314746,1.58983794314746
