species,maxheight,seedmass,SLA,WD
Eucalyptus bridgesiana,20,2.76,6.32,0.794945992
Eucalyptus camphora subsp. humeana,20,0.34,8.6,0.49967135
Eucalyptus cypellocarpa,50,7.09,4.39,0.623867961
Eucalyptus elata,30,4.41,6.41,0.502816615
Eucalyptus radiata,50,8.65,10.3,0.577993601
Eucalyptus resinifera,45,2.5,6.417501671,0.599707427
Eucalyptus rubida,40,2.96,5.11,0.477523972
Eucalyptus stellulata,15,1.49,8.05,0.63697796
Eucalyptus tereticornis,50,0.89,6.55,0.725674024
Eucalyptus viminalis,30,1.28,6.89,0.617917796
Euchiton gymnocephalus,0.4,0.03,55.4,NA
Eustrephus latifolius,NA,13.72,22.04,NA
Exocarpos strictus,3.5,27.11,NA,NA
Fern (Mammy Johnsons 35),NA,NA,NA,NA
Ficus coronata,12,0.32,18.35,0.400365
Forb (Jacobs 34),NA,NA,NA,NA
Forb (Tuross 1 32),NA,NA,NA,NA
Forb 1 (Snowy Ck 6),NA,NA,NA,NA
Forb 2 (Snowy Ck 41),NA,NA,NA,NA
Gahnia aspera,0.7,28.75,NA,NA
Gahnia subaequiglumis,0.6,NA,NA,NA
Galium binifolium,0.5,1.34,NA,NA
Galium gaudichaudii subsp. gaudichaudii,0.3,NA,NA,NA
Galium leiocarpum,0.2,0.39,NA,NA
Gamochaeta purpurea,0.4,0.01,33.11,NA
Geitonoplesium cymosum,NA,15.32,15.98,NA
Geranium homeanum,0.7,1.67,NA,NA
Geranium molle,0.5,1.24,19.75,NA
Geranium potentilloides,0.5,1.75,19.85,NA
Geranium solanderi,0.5,1.67,NA,NA
Geranium sp. (Goodradigbee),NA,NA,NA,NA
Glochidion ferdinandi var. ferdinandi,8,15.75,12.84,0.665265627
Glycine clandestina,NA,4.5,40.81,NA
Glycine microphylla,NA,3.6,30.67,NA
Glycine sp. (Cataract),NA,NA,NA,NA
Glycine tabacina,NA,4.36,24.32,NA
Grass (Cataract 55),NA,NA,NA,NA
Grass (Goodradigbee 10),NA,NA,NA,NA
Grass (Snowy Ck 45),NA,NA,NA,NA
Grass 1 (Jacobs 7),NA,NA,NA,NA
Grass 1 (Sportsmans 49),NA,NA,NA,NA
Grass 2 (Cataract 71),NA,NA,NA,NA
Grass 2 (Sportsmans 36),NA,NA,NA,NA
Grevillea lanigera,1.5,NA,7.83,NA
Grevillea robusta,40,20,5.02,0.520687229
Guioa semiglauca,6,41,13.21,0.77
Gymnostachys anceps,1.5,228.6,6.98,NA
Herb (Mann 36),NA,NA,NA,NA
Herb (Snowy Ck 28),NA,NA,NA,NA
Herb (Tuross 1 40),NA,NA,NA,NA
Herb (Wadbilliga 13),NA,NA,NA,NA
Herb 1 (Cataract 29),NA,NA,NA,NA
Herb 1 (Wallagaraugh 10),NA,NA,NA,NA
Herb 2 (Cataract 44),NA,NA,NA,NA
Hibbertia aspera subsp. aspera,0.6,2.49,14.67,NA
Hovea asperifolia subsp. asperifolia,3,NA,9.82,NA
Hybanthus stellarioides,0.3,NA,NA,NA
Hydrocotyle  sp. (Nariel),NA,NA,NA,NA
Hydrocotyle peduncularis,0.2,0.44,33.22,NA
Hydrocotyle tripartita,0.1,NA,NA,NA
Hypochaeris radicata,0.8,0.7,25.89,NA
Hypolepis glandulifera,1.5,NA,NA,NA
Imperata cylindrica,1.2,0.22,16.11,NA
Juncus continuus,1.2,NA,NA,NA
Juncus gregiflorus,1.4,NA,10.03,NA
Juncus sp. (Gibbo),NA,NA,NA,NA
Juncus sp. (Mann),NA,NA,NA,NA
Juncus sp. (Nariel),NA,NA,NA,NA
Juncus usitatus,1.1,0.01,NA,NA
Lagenophora stipitata,0.2,0.44,  ,NA
Lastreopsis decomposita,0.9,NA,NA,NA
Lepidosperma laterale,1,2.85,7.64,NA
Lepironia articulata,2,2.85,NA,NA
Leptospermum brachyandrum,6,0.03,NA,0.700289744
Leptospermum brevipes,4,0.15,9.02,0.712028707
Leptospermum emarginatum,4,0.25,7.71,can't find
Leptospermum grandifolium,6,0.13,7.83,0.651526474
Leptospermum polygalifolium subsp. polygalifolium,3,0.13,13.24,0.84
Leptospermum trinervium,2.5,0.19,8.64,0.648
Ligustrum lucidum,10,31,13.68,0.57942
Ligustrum sinense,3,17,10.46,0.612
Livistona australis,30,841.29,9.48,NA
Lomandra confertifolia subsp. rubiginosa,0.5,17.49,NA,NA
Lomandra hystrix,1.3,13.92,NA,NA
Lomandra longifolia,1,11.33,12.89,NA
Lomandra sp. (Goodradigbee),NA,NA,NA,NA
Lomatia ilicifolia,3,NA,NA,NA
Lomatia myricoides,5,6.45,10.32,NA
Lonicera japonica,NA,1.8,17.28,NA
Lophostemon suaveolens,22,0.67,7.3,0.577025052
Melaleuca quinquenervia,15,0.31,7.96,0.751375108
Melicytus dentatus,4,11.57,16.64,0.529541423
Mentha pulegium,0.4,0.07,42.06,NA
Mentha sp. (Nariel),NA,NA,NA,NA
Micrantheum hexandrum,2,5.71,NA,NA
Microlaena stipoides,0.7,4.97,36.27,NA
Morinda jasminoides,NA,7.9,34.48,NA
Morus alba,20,9,10,0.601344333
Myrsine variabilis,15,27.21,10.01,0.78351
Neolitsea dealbata,12,146.02,13.7,0.4983
Notelaea linearis,2,NA,NA,NA
Notelaea longifolia,9,44.2,8.5,0.86961
Notelaea microcarpa var. microcarpa,10,43.52,6.18,0.638719277
Notelaea microcarpa var. velutina,10,43.52,6.02,0.638719277
Notelaea venosa,6,130.84,9.41,NA
Opercularia hispida,0.4,98.02,NA,NA
Oplismenus aemulus,0.3,0.88,56.16,NA
Oplismenus imbecillis,0.3,0.92,63.27,NA
Oxalis chnoodes,0.4,NA,NA,NA
Oxalis exilis,0.4,0.9,NA,NA
Oxalis perennans,0.3,0.64,36.01,NA
Oxalis sp.,NA,NA,NA,NA
Ozothamnus diosmifolius,2,0.06,10.43,NA
Pandorea pandorana,NA,18.96,34.63,0.4477
Parsonsia straminea,NA,8.4,26.87,NA
Paspalum dilatatum,2,1.5,21.44,NA
Passiflora edulis,NA,15.46,21.6,NA
Pavonia hastata,1.5,NA,NA,0.52
Pellaea falcata,1.1,NA,NA,NA
Pellaea nana,0.5,NA,20.53,NA
Pennisetum clandestinum,0.9,2.18,30.46,NA
Persicaria decipiens,0.3,1.07,19.9,NA
Persicaria hydropiper,1.2,2.03,30,NA
Persicaria strigosa,1,3.29,NA,NA
Persoonia lanceolata,3,87.76,7.46,NA
Persoonia stradbrokensis,6,278.92,NA,NA
Phragmites australis,6,0.12,20.9,NA
Phyllanthus gunnii,2,1.75,12.97,NA
Phyllanthus sp,NA,NA,13.38,NA
